UPS Hundredweight Service®,,,,,,,
Daily Rates for Multiple-Package Domestic Shipments,,,,,,,
"EFFECTIVE JANUARY 5, 2004",,,,,,,
Rates do not include a fuel surcharge.,,,,,,,

UPS 3 Day Select®,,,,,,,
Hundredweight Shipment Rates per Hundredweight Unit,,,,,,,
Weight Not To Exceed,Zone 302,Zone 303,Zone 304,Zone 305,Zone 306,Zone 307,Zone 308
200 to 499 Lbs.,47.3,61.15,72.3,88.6,109.4,125.2,138.6
500 to 999 Lbs.,44.9,58.1,68.7,84.45,104.2,119.25,131.95
1000+  Lbs.,45.8,59.25,70.1,86.1,106.25,121.65,134.55

The minimum charge in 2004 for 3 Day Select shipments is based on an average of 15,,,,,,,
"pounds per package or $65.00, whichever is greater.  Shipment minimum is 200 pounds.",,,,,,,


Note:  UPS 3 Day Select hundredweight rates are for both Commercial and Residential shipments.
